AktieISIN;Aktienkurs
HK0000069689;6.8217
NL0000235190;160.88
US0378331005;223.3249
NL0010273215;735.60
DE000BASF111;44.415
US1491231015;374.8495
DE000DWS1007;41.26
US46120E6023;575.4904
US46625H1005;251.6605
FR0000121014;692.40
US5949181045;416,6149
US55354G1004;594,3096
US6311031081;76,5488
DK0062498333;76,52
US67066G1040;133,725
CA82509L1076;100,3593
US8740391003;205,3797
US8835561023;543,455
IE00B8GKDB10;65,93
US92826C8394;310.3709
